CityName,GeoAreaName,Place_Id,LastChangeDateTime,DaysFromUpdate,Description
Chicago,Douglas,66787,10/08/2016,177,Mapped
Chicago,Douglas,68119,10/08/2016,177,Mapped
Chicago,Englewood,76037,10/08/2016,177,Mapped
Chicago,Englewood,70876,10/08/2016,177,Mapped
Chicago,Douglas,80177,10/08/2016,177,Mapped
Chicago,Englewood,82856,10/08/2016,177,Mapped
Chicago,Englewood,80231,10/08/2016,177,Mapped
Chicago,Hyde Park,75695,10/08/2016,177,Mapped
Chicago,Chicago Lawn,79129,10/08/2016,177,Mapped
Chicago,Englewood,65291,10/08/2016,177,Mapped
Chicago,Beverly,76180,10/08/2016,177,Checked
Chicago,Chatham,77108,10/08/2016,177,Mapped
Chicago,Chicago Lawn,72576,10/08/2016,177,Mapped
Chicago,Englewood,61230,10/08/2016,177,Mapped
Chicago,Englewood,69974,10/08/2016,177,Mapped
Chicago,Chatham,73286,10/08/2016,177,Mapped
Chicago,Chicago Lawn,70188,10/08/2016,177,Mapped
Chicago,Englewood,75641,10/08/2016,177,Mapped
Chicago,Beverly,83508,10/08/2016,177,Checked
Chicago,Chicago Lawn,69967,10/08/2016,177,Mapped
Chicago,Englewood,77388,10/08/2016,177,Mapped
Chicago,Englewood,63173,10/08/2016,177,Mapped
Chicago,Chatham,98669,10/08/2016,177,Mapped
Chicago,Englewood,61634,10/08/2016,177,Mapped
Chicago,Englewood,73460,10/08/2016,177,Mapped
Chicago,Chicago Lawn,70459,10/08/2016,177,Mapped
Chicago,Chatham,83098,10/08/2016,177,Mapped
Chicago,Englewood,65332,10/08/2016,177,Mapped
Chicago,Chatham,65585,10/08/2016,177,Mapped
Chicago,Englewood,65382,10/08/2016,177,Mapped
Chicago,Chicago Lawn,73051,10/08/2016,177,Checked
Chicago,Chicago Lawn,76590,10/08/2016,177,Mapped
Chicago,Englewood,79563,10/08/2016,177,Mapped
Chicago,Chicago Lawn,81822,10/08/2016,177,Mapped
Chicago,Chicago Lawn,83531,10/08/2016,177,Mapped
Chicago,Englewood,34598,10/08/2016,177,Mapped
Chicago,Chicago Lawn,75906,10/08/2016,177,Mapped
Chicago,Englewood,69963,10/08/2016,177,Mapped
Chicago,Chatham,70969,10/08/2016,177,Checked
Chicago,Englewood,34624,10/08/2016,177,Mapped
Chicago,Chatham,71448,10/08/2016,177,Checked
Chicago,Chicago Lawn,64583,10/08/2016,177,Mapped
Chicago,Chatham,61322,10/08/2016,177,Mapped
Chicago,Englewood,34551,10/08/2016,177,Mapped
Chicago,Chatham,67480,10/08/2016,177,Mapped
Chicago,Chicago Lawn,62459,10/08/2016,177,Mapped
Chicago,Chatham,31002,10/08/2016,177,Mapped
Chicago,Chatham,79585,10/08/2016,177,Mapped
Chicago,Englewood,72524,10/08/2016,177,Mapped
Chicago,Chatham,31010,10/08/2016,177,Mapped
Chicago,Englewood,65377,10/08/2016,177,Mapped
Chicago,Chicago Lawn,81169,10/08/2016,177,Mapped
Chicago,Chicago Lawn,74497,10/08/2016,177,Checked
Chicago,Chicago Lawn,66392,10/08/2016,177,Mapped
Chicago,Englewood,34076,10/08/2016,177,Mapped
Chicago,Chatham,63057,10/08/2016,177,Mapped
Chicago,Chicago Lawn,62593,10/08/2016,177,Checked
Chicago,Chicago Lawn,79020,10/08/2016,177,Mapped
Chicago,Chatham,78341,10/08/2016,177,Mapped
Chicago,Englewood,34058,10/08/2016,177,Mapped
Chicago,Chatham,61239,10/08/2016,177,Checked
Chicago,Englewood,34054,10/08/2016,177,Mapped
Chicago,Chicago Lawn,72877,10/08/2016,177,Mapped
Chicago,Englewood,34071,10/08/2016,177,Mapped
Chicago,Chatham,75854,10/08/2016,177,Mapped
Chicago,Englewood,34123,10/08/2016,177,Mapped
Chicago,Chicago Lawn,68458,10/08/2016,177,Mapped
Chicago,Englewood,34038,10/08/2016,177,Mapped
Chicago,Chatham,72678,10/08/2016,177,Mapped
Chicago,Englewood,34096,10/08/2016,177,Mapped
Chicago,Chatham,78723,10/08/2016,177,Mapped
Chicago,Chatham,64605,10/08/2016,177,Checked
Chicago,Englewood,34097,10/08/2016,177,Mapped
Chicago,Chatham,75209,10/08/2016,177,Mapped
Chicago,South Chicago,83302,10/08/2016,177,Checked
Chicago,Chicago Lawn,75666,10/08/2016,177,Mapped
Chicago,Chatham,63315,10/08/2016,177,Mapped
Chicago,Chicago Lawn,79407,10/08/2016,177,Mapped
Chicago,Englewood,34100,10/08/2016,177,Mapped
Chicago,Chatham,62040,10/08/2016,177,Mapped
Chicago,Chicago Lawn,71032,10/08/2016,177,Mapped
Chicago,Englewood,69341,10/08/2016,177,Mapped
Chicago,Greater Grand Crossing,30462,10/08/2016,177,Mapped
Chicago,Chicago Lawn,70827,10/08/2016,177,Mapped
Chicago,Greater Grand Crossing,30471,10/08/2016,177,Mapped
Chicago,Greater Grand Crossing,30454,10/08/2016,177,Mapped
Chicago,Chatham,72501,10/08/2016,177,Checked
Chicago,Greater Grand Crossing,30455,10/08/2016,177,Mapped
Chicago,Chicago Lawn,83494,10/08/2016,177,Checked
Chicago,Chatham,61435,10/08/2016,177,Checked
Chicago,Greater Grand Crossing,30458,10/08/2016,177,Mapped
Chicago,Greater Grand Crossing,30453,10/08/2016,177,Mapped
Chicago,Chicago Lawn,34746,10/08/2016,177,Mapped
Chicago,Chicago Lawn,34770,10/08/2016,177,Mapped
Chicago,Chicago Lawn,34745,10/08/2016,177,Mapped
Chicago,Gage Park,81872,10/08/2016,177,Checked
Chicago,Chicago Lawn,34743,10/08/2016,177,Mapped
Chicago,Chicago Lawn,34764,10/08/2016,177,Mapped
Chicago,Chatham,67861,10/08/2016,177,Checked
Chicago,East Garfield Park,87693,11/08/2016,176,Checked
Chicago,East Garfield Park,88520,11/08/2016,176,Checked
Chicago,Chatham,69160,11/08/2016,176,Checked
Chicago,Chatham,83106,11/08/2016,176,Checked
Chicago,Chatham,73645,11/08/2016,176,Checked
Chicago,East Garfield Park,28243,11/08/2016,176,Checked
Chicago,Chatham,77203,11/08/2016,176,Checked
Chicago,Chatham,74909,11/08/2016,176,Checked
Chicago,Chatham,71751,11/08/2016,176,Checked
Chicago,Chatham,70076,11/08/2016,176,Checked
Chicago,Chatham,81679,11/08/2016,176,Checked
Chicago,Chatham,66144,11/08/2016,176,Checked
Chicago,Chatham,82930,11/08/2016,176,Checked
Chicago,East Garfield Park,28110,11/08/2016,176,Checked
Chicago,East Garfield Park,83944,11/08/2016,176,Checked
Chicago,Gage Park,73072,11/08/2016,176,Checked
Chicago,East Garfield Park,88473,11/08/2016,176,Checked
Chicago,Chatham,81882,11/08/2016,176,Checked
Chicago,Chatham,72643,11/08/2016,176,Checked
Chicago,Gage Park,82951,11/08/2016,176,Checked
Chicago,East Garfield Park,88492,11/08/2016,176,Checked
Chicago,East Garfield Park,88472,11/08/2016,176,Checked
Chicago,Near West Side,87171,11/08/2016,176,Checked
Chicago,East Garfield Park,87236,11/08/2016,176,Checked
Chicago,Chatham,62179,11/08/2016,176,Checked
Chicago,East Garfield Park,28106,11/08/2016,176,Checked
Chicago,Chatham,73747,11/08/2016,176,Checked
Chicago,East Garfield Park,28340,11/08/2016,176,Checked
Chicago,Chatham,66590,11/08/2016,176,Checked
Chicago,Chatham,69512,11/08/2016,176,Checked
Chicago,Near West Side,87176,11/08/2016,176,Checked
Chicago,Chatham,74112,11/08/2016,176,Checked
Chicago,East Garfield Park,86655,11/08/2016,176,Checked
Chicago,Chatham,61242,11/08/2016,176,Checked
Chicago,Chatham,79823,11/08/2016,176,Checked
Chicago,Chatham,69271,11/08/2016,176,Checked
